1,0,0,0,0,10,0.00329%,0
65,0,0,0,1,10,0.02416%,0.011065367
2,1,0,0,0,9.67,0.02775%,0.012966909
17,0,0,1,0,9.67,0.03179%,0.015112998
81,0,0,1,1,9.67,0.03635%,0.017529036
66,1,0,0,1,9.5,0.04146%,0.020242162
3,2,0,0,0,9.34,0.04719%,0.023281243
18,1,0,1,0,9.34,0.05360%,0.02667684
33,0,0,2,0,9.34,0.06073%,0.030461155
97,0,0,2,1,9.34,0.06867%,0.034667944
82,1,0,1,1,9.17,0.07746%,0.039332404
4,3,0,0,0,9.01,0.08719%,0.044491028
19,2,0,1,0,9.01,0.09792%,0.050181427
34,1,0,2,0,9.01,0.10972%,0.056442108
49,0,0,3,0,9.01,0.12268%,0.063312228
113,0,0,3,1,9.01,0.13686%,0.0708313
5,0,1,0,0,9,0.15233%,0.079038857
67,2,0,0,1,9,0.16918%,0.087974093
98,1,0,2,1,8.84,0.18748%,0.097675444
69,0,1,0,1,8.83,0.20728%,0.108180153
20,3,0,1,0,8.68,0.22868%,0.119523784
35,2,0,2,0,8.68,0.25171%,0.131739717
50,1,0,3,0,8.68,0.27645%,0.144858607
6,1,1,0,0,8.67,0.30294%,0.158907822
21,0,1,1,0,8.67,0.33123%,0.173910869
83,2,0,1,1,8.67,0.36136%,0.1898868
114,1,0,3,1,8.51,0.39334%,0.206849622
68,3,0,0,1,8.5,0.42720%,0.224807705
85,0,1,1,1,8.5,0.46295%,0.24376321
36,3,0,2,0,8.35,0.50056%,0.26371153
51,2,0,3,0,8.35,0.54003%,0.28464077
7,2,1,0,0,8.34,0.58131%,0.306531265
22,1,1,1,0,8.34,0.62435%,0.329355148
37,0,1,2,0,8.34,0.66908%,0.353075985
99,2,0,2,1,8.34,0.71541%,0.377648474
70,1,1,0,1,8.33,0.76325%,0.403018233
84,3,0,1,1,8.17,0.81247%,0.429121665
101,0,1,2,1,8.17,0.86294%,0.455885938
52,3,0,3,0,8.02,0.91450%,0.48322905
